lane	experiment_id	kind	config_path	expected_run_name	unit_count	priority	notes
1	llm_curriculum_pid_dynprev_m-taskdist_medium_seed0	llm_curriculum	configs/curricula/llm_curriculum_pid_dynprev_m-taskdist_medium.yaml	llm_curriculum_pid_dynprev_m-taskdist_medium_seed0	5	must-have	Local LLM PID curriculum with 10 adaptive stages capped at 5 units; skipped only if configured local LLM URL is unreachable.
1	direct_ppo_pid_baseline_medium_seed0	direct_ppo	configs/training/ppo_tracking_pid_baseline_medium.yaml	direct_ppo_pid_baseline_medium_seed0	1	must-have	Fixed-task PID baseline.
2	curriculum_manual_pid_dynprev_m-taskdist_medium_seed0	manual_curriculum	configs/curricula/curriculum_pid_dynprev_m-taskdist_medium.yaml	curriculum_manual_pid_dynprev_m-taskdist_medium_seed0	5	must-have	Manual PID curriculum with 5 fixed-budget stages.
2	direct_ppo_pid_dynprev_medium_seed0	direct_ppo	configs/training/ppo_tracking_pid_dynprev_medium.yaml	direct_ppo_pid_dynprev_medium_seed0	1	must-have	Fixed-task PID dynprev.
3	llm_curriculum_directrpm_dynprev_m-taskdist_medium_seed0	llm_curriculum	configs/curricula/llm_curriculum_directrpm_dynprev_m-taskdist_medium.yaml	llm_curriculum_directrpm_dynprev_m-taskdist_medium_seed0	5	optional	Optional experimental direct-RPM LLM curriculum with 10 adaptive stages capped at 5 units; skipped only if local LLM URL is unreachable.
3	direct_ppo_directrpm_dynprev_medium_seed0	direct_ppo	configs/training/ppo_tracking_directrpm_dynprev_medium.yaml	direct_ppo_directrpm_dynprev_medium_seed0	1	must-have	Experimental fixed-task direct-RPM dynprev.
4	curriculum_manual_directrpm_dynprev_m-taskdist_medium_seed0	manual_curriculum	configs/curricula/curriculum_directrpm_dynprev_m-taskdist_medium.yaml	curriculum_manual_directrpm_dynprev_m-taskdist_medium_seed0	5	should-have	Experimental manual direct-RPM curriculum with 5 fixed-budget stages.
4	direct_ppo_directrpm_dynprev_m-taskdist_medium_seed0	direct_ppo	configs/training/ppo_tracking_directrpm_dynprev_m-taskdist_medium.yaml	direct_ppo_directrpm_dynprev_m-taskdist_medium_seed0	1	must-have	Experimental direct-RPM dynprev taskdist.
5	direct_ppo_pid_dynprev_m-taskdist_medium_seed0	direct_ppo	configs/training/ppo_tracking_pid_dynprev_m-taskdist_medium.yaml	direct_ppo_pid_dynprev_m-taskdist_medium_seed0	1	must-have	PID dynprev taskdist.
5	direct_ppo_pid_dynprev_net256_medium_seed0	direct_ppo	configs/training/ppo_tracking_pid_dynprev_net256_medium.yaml	direct_ppo_pid_dynprev_net256_medium_seed0	1	must-have	Fixed-task PID dynprev net256.
5	direct_ppo_pid_dynprev_m-taskdist_medium_low_lr_seed0	direct_ppo	configs/training/ppo_tracking_pid_dynprev_m-taskdist_medium_low_lr.yaml	direct_ppo_pid_dynprev_m-taskdist_medium_low_lr_seed0	1	must-have	PID taskdist low learning rate.
5	direct_ppo_pid_dynprev_net256_m-taskdist_medium_low_lr_seed0	direct_ppo	configs/training/ppo_tracking_pid_dynprev_net256_m-taskdist_medium_low_lr.yaml	direct_ppo_pid_dynprev_net256_m-taskdist_medium_low_lr_seed0	1	must-have	PID net256 taskdist low learning rate.
5	direct_ppo_directrpm_dynprev_net256_m-taskdist_medium_seed0	direct_ppo	configs/training/ppo_tracking_directrpm_dynprev_net256_m-taskdist_medium.yaml	direct_ppo_directrpm_dynprev_net256_m-taskdist_medium_seed0	1	should-have	Experimental direct-RPM dynprev net256 taskdist.
6	direct_ppo_pid_dynprev_net256_m-taskdist_medium_seed0	direct_ppo	configs/training/ppo_tracking_pid_dynprev_net256_m-taskdist_medium.yaml	direct_ppo_pid_dynprev_net256_m-taskdist_medium_seed0	1	must-have	PID dynprev net256 taskdist.
6	direct_ppo_pid_dynprev_m-taskdist_medium_ent005_seed0	direct_ppo	configs/training/ppo_tracking_pid_dynprev_m-taskdist_medium_ent005.yaml	direct_ppo_pid_dynprev_m-taskdist_medium_ent005_seed0	1	must-have	PID taskdist entropy 0.005.
6	direct_ppo_pid_dynprev_net256_m-taskdist_medium_ent005_seed0	direct_ppo	configs/training/ppo_tracking_pid_dynprev_net256_m-taskdist_medium_ent005.yaml	direct_ppo_pid_dynprev_net256_m-taskdist_medium_ent005_seed0	1	must-have	PID net256 taskdist entropy 0.005.
6	direct_ppo_directrpm_dynprev_m-taskdist_medium_low_lr_seed0	direct_ppo	configs/training/ppo_tracking_directrpm_dynprev_m-taskdist_medium_low_lr.yaml	direct_ppo_directrpm_dynprev_m-taskdist_medium_low_lr_seed0	1	should-have	Experimental direct-RPM taskdist low learning rate.
6	direct_ppo_directrpm_dynprev_m-taskdist_medium_ent005_seed0	direct_ppo	configs/training/ppo_tracking_directrpm_dynprev_m-taskdist_medium_ent005.yaml	direct_ppo_directrpm_dynprev_m-taskdist_medium_ent005_seed0	1	should-have	Experimental direct-RPM taskdist entropy 0.005.
